cgpa,aptitude,projects,placed
9.1,85,5,1
8.7,80,4,1
8.5,78,3,1
8.2,75,3,1
7.9,70,2,1
7.8,68,2,1
7.5,65,2,1
7.2,60,1,0
7,58,1,0
6.8,55,1,0
6.5,50,0,0
6.2,45,0,0
9.3,90,6,1
8.9,85,5,1
8,72,3,1
7.6,66,2,1
7.1,59,1,0
6.9,54,1,0
6.4,48,0,0
6,40,0,0
8.4,76,3,1
7.3,62,1,0
6.7,52,1,0
9,88,5,1
8.1,74,3,1
6.1,42,0,0
7.7,67,2,1
8.6,79,4,1
6.6,51,0,0
7.4,64,2,0
8.3,75,3,1
9.2,89,5,1
6.3,46,0,0
7,57,1,0
8.8,82,4,1
7.9,71,2,1
6.8,56,1,0
7.5,65,2,1
8.5,78,3,1
6.2,44,0,0
7.1,59,1,0
8,73,3,1
9.1,86,5,1
6.5,49,0,0
7.6,66,2,1
8.7,81,4,1
6.9,53,1,0
7.8,69,2,1
8.2,74,3,1
6,41,0,0
7.2,61,1,0
8.4,77,3,1
9.3,91,6,1
6.4,47,0,0
7.3,63,1,0
8.9,84,5,1
6.7,54,1,0
7.7,68,2,1
8.6,80,4,1
6.1,43,0,0
7.4,64,2,0
8.1,72,3,1
9,87,5,1
6.6,52,0,0
7.5,65,2,1
8.3,76,3,1
6.3,45,0,0
7,58,1,0
8.8,83,4,1
7.9,70,2,1
6.8,55,1,0
7.6,67,2,1
8.5,79,3,1
6.2,46,0,0
7.1,60,1,0
8,74,3,1
9.2,90,6,1
6.5,50,0,0
7.8,68,2,1
8.7,82,4,1
6.9,54,1,0
7.2,62,1,0
8.2,75,3,1
6,40,0,0
7.7,69,2,1
8.4,78,3,1
9.1,85,5,1
6.4,48,0,0
7.3,63,1,0
8.9,86,5,1
6.7,55,1,0
7.4,65,2,1
8.6,81,4,1
6.1,44,0,0
7.5,66,2,1
8.1,73,3,1
9,88,5,1
6.6,51,0,0
7.6,68,2,1
8.3,77,3,1
